
let p = 1/2

%BEGIN rPTSA config
restriction := 2
q0 := q
m0 := m0
gamma0 := root
%END rPTSA config
    
%BEGIN rPTSA rules
(q, m0, root, 1, (q, m_a_1, up g1))
(q_end, cont, g497, 1, (q_end, cont, down))
(q, cont, g497, 1, (q, cont, up g497))
(q, endStr, g497, 1, (q_end, endStr, down))
(q_end, m_a_497, root, 1, (q, m_a_498, up g498))
(q_end, m_b_497, root, 1, (q, m_b_498, up g498))
(q, m0, g498, p, (q, cont, up g498))
(q, m0, g498, 1 - p, (q_end, endStr, down))
(q_end, cont, g498, 1, (q_end, cont, down))
(q, cont, g498, 1, (q, cont, up g498))
(q, endStr, g498, 1, (q_end, endStr, down))
(q_end, m_a_498, root, 1, (q, m_a_499, up g499))
(q_end, m_b_498, root, 1, (q, m_b_499, up g499))
(q, m0, g499, p, (q, cont, up g499))
(q, m0, g499, 1 - p, (q_end, endStr, down))
(q_end, cont, g499, 1, (q_end, cont, down))
(q, cont, g499, 1, (q, cont, up g499))
(q, endStr, g499, 1, (q_end, endStr, down))
(q_end, m_a_499, root, 1, (q, m_a_500, up g500))
(q_end, m_b_499, root, 1, (q, m_b_500, up g500))
(q, m0, g500, p, (q, cont, up g500))
(q, m0, g500, 1 - p, (q_end, endStr, down))
(q_end, cont, g500, 1, (q_end, cont, down))
(q, cont, g500, 1, (q, cont, up g500))
(q, endStr, g500, 1, (q_end, endStr, down))
(q_end, m_a_500, root, 1, (q, m_a_501, up g501))
(q_end, m_b_500, root, 1, (q, m_b_501, up g501))
(q, m0, g501, p, (q, cont, up g501))
(q, m0, g501, 1 - p, (q_end, endStr, down))
(q_end, cont, g501, 1, (q_end, cont, down))
(q, cont, g501, 1, (q, cont, up g501))
(q, endStr, g501, 1, (q_end, endStr, down))
(q_end, m_a_501, root, 1, (q, m_a_502, up g502))
(q_end, m_b_501, root, 1, (q, m_b_502, up g502))
(q, m0, g502, p, (q, cont, up g502))
(q, m0, g502, 1 - p, (q_end, endStr, down))
(q_end, cont, g502, 1, (q_end, cont, down))
(q, cont, g502, 1, (q, cont, up g502))
(q, endStr, g502, 1, (q_end, endStr, down))
(q_end, m_a_502, root, 1, (q, m_a_503, up g503))
(q_end, m_b_502, root, 1, (q, m_b_503, up g503))
(q, m0, g503, p, (q, cont, up g503))
(q, m0, g503, 1 - p, (q_end, endStr, down))
(q_end, cont, g503, 1, (q_end, cont, down))
(q, cont, g503, 1, (q, cont, up g503))
(q, endStr, g503, 1, (q_end, endStr, down))
(q_end, m_a_503, root, 1, (q, m_a_504, up g504))
(q_end, m_b_503, root, 1, (q, m_b_504, up g504))
(q, m0, g504, p, (q, cont, up g504))
(q, m0, g504, 1 - p, (q_end, endStr, down))
(q_end, cont, g504, 1, (q_end, cont, down))
(q, cont, g504, 1, (q, cont, up g504))
(q, endStr, g504, 1, (q_end, endStr, down))
(q_end, m_a_504, root, 1, (q, m_a_505, up g505))
(q_end, m_b_504, root, 1, (q, m_b_505, up g505))
(q, m0, g505, p, (q, cont, up g505))
(q, m0, g505, 1 - p, (q_end, endStr, down))
(q_end, cont, g505, 1, (q_end, cont, down))
(q, cont, g505, 1, (q, cont, up g505))
(q, endStr, g505, 1, (q_end, endStr, down))
(q_end, m_a_505, root, 1, (q, m_a_506, up g506))
(q_end, m_b_505, root, 1, (q, m_b_506, up g506))
(q, m0, g506, p, (q, cont, up g506))
(q, m0, g506, 1 - p, (q_end, endStr, down))
(q_end, cont, g506, 1, (q_end, cont, down))
(q, cont, g506, 1, (q, cont, up g506))
(q, endStr, g506, 1, (q_end, endStr, down))
(q_end, m_a_506, root, 1, (q, m_a_507, up g507))
(q_end, m_b_506, root, 1, (q, m_b_507, up g507))
(q, m0, g507, p, (q, cont, up g507))
(q, m0, g507, 1 - p, (q_end, endStr, down))
(q_end, cont, g507, 1, (q_end, cont, down))
(q, cont, g507, 1, (q, cont, up g507))
(q, endStr, g507, 1, (q_end, endStr, down))
(q_end, m_a_507, root, 1, (q, m_a_508, up g508))
(q_end, m_b_507, root, 1, (q, m_b_508, up g508))
(q, m0, g508, p, (q, cont, up g508))
(q, m0, g508, 1 - p, (q_end, endStr, down))
(q_end, cont, g508, 1, (q_end, cont, down))
(q, cont, g508, 1, (q, cont, up g508))
(q, endStr, g508, 1, (q_end, endStr, down))
(q_end, m_a_508, root, 1, (q, m_a_509, up g509))
(q_end, m_b_508, root, 1, (q, m_b_509, up g509))
(q, m0, g509, p, (q, cont, up g509))
(q, m0, g509, 1 - p, (q_end, endStr, down))
(q_end, cont, g509, 1, (q_end, cont, down))
(q, cont, g509, 1, (q, cont, up g509))
(q, endStr, g509, 1, (q_end, endStr, down))
(q_end, m_a_509, root, 1, (q, m_a_510, up g510))
(q_end, m_b_509, root, 1, (q, m_b_510, up g510))
(q, m0, g510, p, (q, cont, up g510))
(q, m0, g510, 1 - p, (q_end, endStr, down))
(q_end, cont, g510, 1, (q_end, cont, down))
(q, cont, g510, 1, (q, cont, up g510))
(q, endStr, g510, 1, (q_end, endStr, down))
(q_end, m_a_510, root, 1, (q, m_a_511, up g511))
(q_end, m_b_510, root, 1, (q, m_b_511, up g511))
(q, m0, g511, p, (q, cont, up g511))
(q, m0, g511, 1 - p, (q_end, endStr, down))
(q_end, cont, g511, 1, (q_end, cont, down))
(q, cont, g511, 1, (q, cont, up g511))
(q, endStr, g511, 1, (q_end, endStr, down))
(q_end, m_a_511, root, 1, (q, m_a_512, up g512))
(q_end, m_b_511, root, 1, (q, m_b_512, up g512))
(q, m0, g512, p, (q, cont, up g512))
(q, m0, g512, 1 - p, (q_end, endStr, down))
(q_end, cont, g512, 1, (q_end, cont, down))
(q, cont, g512, 1, (q, cont, up g512))
(q, endStr, g512, 1, (q_end, endStr, down))
(q_end, m_a_512, root, 1, (q, m_a_513, up g513))
(q_end, m_b_512, root, 1, (q, m_b_513, up g513))
(q, m0, g513, p, (q, cont, up g513))
(q, m0, g513, 1 - p, (q_end, endStr, down))
(q_end, cont, g513, 1, (q_end, cont, down))
(q, cont, g513, 1, (q, cont, up g513))
(q, endStr, g513, 1, (q_end, endStr, down))
(q_end, m_a_513, root, 1, (q, m_a_514, up g514))
(q_end, m_b_513, root, 1, (q, m_b_514, up g514))
(q, m0, g514, p, (q, cont, up g514))
(q, m0, g514, 1 - p, (q_end, endStr, down))
(q_end, cont, g514, 1, (q_end, cont, down))
(q, cont, g514, 1, (q, cont, up g514))
(q, endStr, g514, 1, (q_end, endStr, down))
(q_end, m_a_514, root, 1, (q, m_a_515, up g515))
(q_end, m_b_514, root, 1, (q, m_b_515, up g515))
(q, m0, g515, p, (q, cont, up g515))
(q, m0, g515, 1 - p, (q_end, endStr, down))
(q_end, cont, g515, 1, (q_end, cont, down))
(q, cont, g515, 1, (q, cont, up g515))
(q, endStr, g515, 1, (q_end, endStr, down))
(q_end, m_a_515, root, 1, (q, m_a_516, up g516))
(q_end, m_b_515, root, 1, (q, m_b_516, up g516))
(q, m0, g516, p, (q, cont, up g516))
(q, m0, g516, 1 - p, (q_end, endStr, down))
(q_end, cont, g516, 1, (q_end, cont, down))
(q, cont, g516, 1, (q, cont, up g516))
(q, endStr, g516, 1, (q_end, endStr, down))
(q_end, m_a_516, root, 1, (q, m_a_517, up g517))
(q_end, m_b_516, root, 1, (q, m_b_517, up g517))
(q, m0, g517, p, (q, cont, up g517))
(q, m0, g517, 1 - p, (q_end, endStr, down))
(q_end, cont, g517, 1, (q_end, cont, down))
(q, cont, g517, 1, (q, cont, up g517))
(q, endStr, g517, 1, (q_end, endStr, down))
(q_end, m_a_517, root, 1, (q, m_a_518, up g518))
(q_end, m_b_517, root, 1, (q, m_b_518, up g518))
(q, m0, g518, p, (q, cont, up g518))
(q, m0, g518, 1 - p, (q_end, endStr, down))
(q_end, cont, g518, 1, (q_end, cont, down))
(q, cont, g518, 1, (q, cont, up g518))
(q, endStr, g518, 1, (q_end, endStr, down))
(q_end, m_a_518, root, 1, (q, m_a_519, up g519))
(q_end, m_b_518, root, 1, (q, m_b_519, up g519))
(q, m0, g519, p, (q, cont, up g519))
(q, m0, g519, 1 - p, (q_end, endStr, down))
(q_end, cont, g519, 1, (q_end, cont, down))
(q, cont, g519, 1, (q, cont, up g519))
(q, endStr, g519, 1, (q_end, endStr, down))
(q_end, m_a_519, root, 1, (q, m_a_520, up g520))
(q_end, m_b_519, root, 1, (q, m_b_520, up g520))
(q, m0, g520, p, (q, cont, up g520))
(q, m0, g520, 1 - p, (q_end, endStr, down))
(q_end, cont, g520, 1, (q_end, cont, down))
(q, cont, g520, 1, (q, cont, up g520))
(q, endStr, g520, 1, (q_end, endStr, down))
(q_end, m_a_520, root, 1, (q, m_a_521, up g521))
(q_end, m_b_520, root, 1, (q, m_b_521, up g521))
(q, m0, g521, p, (q, cont, up g521))
(q, m0, g521, 1 - p, (q_end, endStr, down))
(q_end, cont, g521, 1, (q_end, cont, down))
(q, cont, g521, 1, (q, cont, up g521))
(q, endStr, g521, 1, (q_end, endStr, down))
(q_end, m_a_521, root, 1, (q, m_a_522, up g522))
(q_end, m_b_521, root, 1, (q, m_b_522, up g522))
(q, m0, g522, p, (q, cont, up g522))
(q, m0, g522, 1 - p, (q_end, endStr, down))
(q_end, cont, g522, 1, (q_end, cont, down))
(q, cont, g522, 1, (q, cont, up g522))
(q, endStr, g522, 1, (q_end, endStr, down))
(q_end, m_a_522, root, 1, (q, m_a_523, up g523))
(q_end, m_b_522, root, 1, (q, m_b_523, up g523))
(q, m0, g523, p, (q, cont, up g523))
(q, m0, g523, 1 - p, (q_end, endStr, down))
(q_end, cont, g523, 1, (q_end, cont, down))
(q, cont, g523, 1, (q, cont, up g523))
(q, endStr, g523, 1, (q_end, endStr, down))
(q_end, m_a_523, root, 1, (q, m_a_524, up g524))
(q_end, m_b_523, root, 1, (q, m_b_524, up g524))
(q, m0, g524, p, (q, cont, up g524))
(q, m0, g524, 1 - p, (q_end, endStr, down))
(q_end, cont, g524, 1, (q_end, cont, down))
(q, cont, g524, 1, (q, cont, up g524))
(q, endStr, g524, 1, (q_end, endStr, down))
(q_end, m_a_524, root, 1, (q, m_a_525, up g525))
(q_end, m_b_524, root, 1, (q, m_b_525, up g525))
(q, m0, g525, p, (q, cont, up g525))
(q, m0, g525, 1 - p, (q_end, endStr, down))
(q_end, cont, g525, 1, (q_end, cont, down))
(q, cont, g525, 1, (q, cont, up g525))
(q, endStr, g525, 1, (q_end, endStr, down))
(q_end, m_a_525, root, 1, (q, m_a_526, up g526))
(q_end, m_b_525, root, 1, (q, m_b_526, up g526))
(q, m0, g526, p, (q, cont, up g526))
(q, m0, g526, 1 - p, (q_end, endStr, down))
(q_end, cont, g526, 1, (q_end, cont, down))
(q, cont, g526, 1, (q, cont, up g526))
(q, endStr, g526, 1, (q_end, endStr, down))
(q_end, m_a_526, root, 1, (q, m_a_527, up g527))
(q_end, m_b_526, root, 1, (q, m_b_527, up g527))
(q, m0, g527, p, (q, cont, up g527))
(q, m0, g527, 1 - p, (q_end, endStr, down))
(q_end, cont, g527, 1, (q_end, cont, down))
(q, cont, g527, 1, (q, cont, up g527))
(q, endStr, g527, 1, (q_end, endStr, down))
(q_end, m_a_527, root, 1, (q, m_a_528, up g528))
(q_end, m_b_527, root, 1, (q, m_b_528, up g528))
(q, m0, g528, p, (q, cont, up g528))
(q, m0, g528, 1 - p, (q_end, endStr, down))
(q_end, cont, g528, 1, (q_end, cont, down))
(q, cont, g528, 1, (q, cont, up g528))
(q, endStr, g528, 1, (q_end, endStr, down))
(q_end, m_a_528, root, 1, (q, m_a_529, up g529))
(q_end, m_b_528, root, 1, (q, m_b_529, up g529))
(q, m0, g529, p, (q, cont, up g529))
(q, m0, g529, 1 - p, (q_end, endStr, down))
(q_end, cont, g529, 1, (q_end, cont, down))
(q, cont, g529, 1, (q, cont, up g529))
(q, endStr, g529, 1, (q_end, endStr, down))
(q_end, m_a_529, root, 1, (q, m_a_530, up g530))
(q_end, m_b_529, root, 1, (q, m_b_530, up g530))
(q, m0, g530, p, (q, cont, up g530))
(q, m0, g530, 1 - p, (q_end, endStr, down))
(q_end, cont, g530, 1, (q_end, cont, down))
(q, cont, g530, 1, (q, cont, up g530))
(q, endStr, g530, 1, (q_end, endStr, down))
(q_end, m_a_530, root, 1, (q, m_a_531, up g531))
(q_end, m_b_530, root, 1, (q, m_b_531, up g531))
(q, m0, g531, p, (q, cont, up g531))
(q, m0, g531, 1 - p, (q_end, endStr, down))
(q_end, cont, g531, 1, (q_end, cont, down))
(q, cont, g531, 1, (q, cont, up g531))
(q, endStr, g531, 1, (q_end, endStr, down))
(q_end, m_a_531, root, 1, (q, m_a_532, up g532))
(q_end, m_b_531, root, 1, (q, m_b_532, up g532))
(q, m0, g532, p, (q, cont, up g532))
(q, m0, g532, 1 - p, (q_end, endStr, down))
(q_end, cont, g532, 1, (q_end, cont, down))
(q, cont, g532, 1, (q, cont, up g532))
(q, endStr, g532, 1, (q_end, endStr, down))
(q_end, m_a_532, root, 1, (q, m_a_533, up g533))
(q_end, m_b_532, root, 1, (q, m_b_533, up g533))
(q, m0, g533, p, (q, cont, up g533))
(q, m0, g533, 1 - p, (q_end, endStr, down))
(q_end, cont, g533, 1, (q_end, cont, down))
(q, cont, g533, 1, (q, cont, up g533))
(q, endStr, g533, 1, (q_end, endStr, down))
(q_end, m_a_533, root, 1, (q, m_a_534, up g534))
(q_end, m_b_533, root, 1, (q, m_b_534, up g534))
(q, m0, g534, p, (q, cont, up g534))
(q, m0, g534, 1 - p, (q_end, endStr, down))
(q_end, cont, g534, 1, (q_end, cont, down))
(q, cont, g534, 1, (q, cont, up g534))
(q, endStr, g534, 1, (q_end, endStr, down))
(q_end, m_a_534, root, 1, (q, m_a_535, up g535))
(q_end, m_b_534, root, 1, (q, m_b_535, up g535))
(q, m0, g535, p, (q, cont, up g535))
(q, m0, g535, 1 - p, (q_end, endStr, down))
(q_end, cont, g535, 1, (q_end, cont, down))
(q, cont, g535, 1, (q, cont, up g535))
(q, endStr, g535, 1, (q_end, endStr, down))
(q_end, m_a_535, root, 1, (q, m_a_536, up g536))
(q_end, m_b_535, root, 1, (q, m_b_536, up g536))
(q, m0, g536, p, (q, cont, up g536))
(q, m0, g536, 1 - p, (q_end, endStr, down))
(q_end, cont, g536, 1, (q_end, cont, down))
(q, cont, g536, 1, (q, cont, up g536))
(q, endStr, g536, 1, (q_end, endStr, down))
(q_end, m_a_536, root, 1, (q, m_a_537, up g537))
(q_end, m_b_536, root, 1, (q, m_b_537, up g537))
(q, m0, g537, p, (q, cont, up g537))
(q, m0, g537, 1 - p, (q_end, endStr, down))
(q_end, cont, g537, 1, (q_end, cont, down))
(q, cont, g537, 1, (q, cont, up g537))
(q, endStr, g537, 1, (q_end, endStr, down))
(q_end, m_a_537, root, 1, (q, m_a_538, up g538))
(q_end, m_b_537, root, 1, (q, m_b_538, up g538))
(q, m0, g538, p, (q, cont, up g538))
(q, m0, g538, 1 - p, (q_end, endStr, down))
(q_end, cont, g538, 1, (q_end, cont, down))
(q, cont, g538, 1, (q, cont, up g538))
(q, endStr, g538, 1, (q_end, endStr, down))
(q_end, m_a_538, root, 1, (q, m_a_539, up g539))
(q_end, m_b_538, root, 1, (q, m_b_539, up g539))
(q, m0, g539, p, (q, cont, up g539))
(q, m0, g539, 1 - p, (q_end, endStr, down))
(q_end, cont, g539, 1, (q_end, cont, down))
(q, cont, g539, 1, (q, cont, up g539))
(q, endStr, g539, 1, (q_end, endStr, down))
(q_end, m_a_539, root, 1, (q, m_a_540, up g540))
(q_end, m_b_539, root, 1, (q, m_b_540, up g540))
(q, m0, g540, p, (q, cont, up g540))
(q, m0, g540, 1 - p, (q_end, endStr, down))
(q_end, cont, g540, 1, (q_end, cont, down))
(q, cont, g540, 1, (q, cont, up g540))
(q, endStr, g540, 1, (q_end, endStr, down))
(q_end, m_a_540, root, 1, (q, m_a_541, up g541))
(q_end, m_b_540, root, 1, (q, m_b_541, up g541))
(q, m0, g541, p, (q, cont, up g541))
(q, m0, g541, 1 - p, (q_end, endStr, down))
(q_end, cont, g541, 1, (q_end, cont, down))
(q, cont, g541, 1, (q, cont, up g541))
(q, endStr, g541, 1, (q_end, endStr, down))
(q_end, m_a_541, root, 1, (q, m_a_542, up g542))
(q_end, m_b_541, root, 1, (q, m_b_542, up g542))
(q, m0, g542, p, (q, cont, up g542))
(q, m0, g542, 1 - p, (q_end, endStr, down))
(q_end, cont, g542, 1, (q_end, cont, down))
(q, cont, g542, 1, (q, cont, up g542))
(q, endStr, g542, 1, (q_end, endStr, down))
(q_end, m_a_542, root, 1, (q, m_a_543, up g543))
(q_end, m_b_542, root, 1, (q, m_b_543, up g543))
(q, m0, g543, p, (q, cont, up g543))
(q, m0, g543, 1 - p, (q_end, endStr, down))
(q_end, cont, g543, 1, (q_end, cont, down))
(q, cont, g543, 1, (q, cont, up g543))
(q, endStr, g543, 1, (q_end, endStr, down))
(q_end, m_a_543, root, 1, (q, m_a_544, up g544))
(q_end, m_b_543, root, 1, (q, m_b_544, up g544))
(q, m0, g544, p, (q, cont, up g544))
(q, m0, g544, 1 - p, (q_end, endStr, down))
(q_end, cont, g544, 1, (q_end, cont, down))
(q, cont, g544, 1, (q, cont, up g544))
(q, endStr, g544, 1, (q_end, endStr, down))
(q_end, m_a_544, root, 1, (q, m_a_545, up g545))
(q_end, m_b_544, root, 1, (q, m_b_545, up g545))
(q, m0, g545, p, (q, cont, up g545))
(q, m0, g545, 1 - p, (q_end, endStr, down))
(q_end, cont, g545, 1, (q_end, cont, down))
(q, cont, g545, 1, (q, cont, up g545))
(q, endStr, g545, 1, (q_end, endStr, down))
(q_end, m_a_545, root, 1, (q, m_a_546, up g546))
(q_end, m_b_545, root, 1, (q, m_b_546, up g546))
(q, m0, g546, p, (q, cont, up g546))
(q, m0, g546, 1 - p, (q_end, endStr, down))
(q_end, cont, g546, 1, (q_end, cont, down))
(q, cont, g546, 1, (q, cont, up g546))
(q, endStr, g546, 1, (q_end, endStr, down))
(q_end, m_a_546, root, 1, (q, m_a_547, up g547))
(q_end, m_b_546, root, 1, (q, m_b_547, up g547))
(q, m0, g547, p, (q, cont, up g547))
(q, m0, g547, 1 - p, (q_end, endStr, down))
(q_end, cont, g547, 1, (q_end, cont, down))
(q, cont, g547, 1, (q, cont, up g547))
(q, endStr, g547, 1, (q_end, endStr, down))
(q_end, m_a_547, root, 1, (q, m_a_548, up g548))
(q_end, m_b_547, root, 1, (q, m_b_548, up g548))
(q, m0, g548, p, (q, cont, up g548))
(q, m0, g548, 1 - p, (q_end, endStr, down))
(q_end, cont, g548, 1, (q_end, cont, down))
(q, cont, g548, 1, (q, cont, up g548))
(q, endStr, g548, 1, (q_end, endStr, down))
(q_end, m_a_548, root, 1, (q, m_a_549, up g549))
(q_end, m_b_548, root, 1, (q, m_b_549, up g549))
(q, m0, g549, p, (q, cont, up g549))
(q, m0, g549, 1 - p, (q_end, endStr, down))
(q_end, cont, g549, 1, (q_end, cont, down))
(q, cont, g549, 1, (q, cont, up g549))
(q, endStr, g549, 1, (q_end, endStr, down))
(q_end, m_a_549, root, 1, (q, m_a_550, up g550))
(q_end, m_b_549, root, 1, (q, m_b_550, up g550))
(q, m0, g550, p, (q, cont, up g550))
(q, m0, g550, 1 - p, (q_end, endStr, down))
(q_end, cont, g550, 1, (q_end, cont, down))
(q, cont, g550, 1, (q, cont, up g550))
(q, endStr, g550, 1, (q_end, endStr, down))
(q_end, m_a_550, root, 1, (q, m_a_551, up g551))
(q_end, m_b_550, root, 1, (q, m_b_551, up g551))
(q, m0, g551, p, (q, cont, up g551))
(q, m0, g551, 1 - p, (q_end, endStr, down))
(q_end, cont, g551, 1, (q_end, cont, down))
(q, cont, g551, 1, (q, cont, up g551))
(q, endStr, g551, 1, (q_end, endStr, down))
(q_end, m_a_551, root, 1, (q, m_a_552, up g552))
(q_end, m_b_551, root, 1, (q, m_b_552, up g552))
(q, m0, g552, p, (q, cont, up g552))
(q, m0, g552, 1 - p, (q_end, endStr, down))
(q_end, cont, g552, 1, (q_end, cont, down))
(q, cont, g552, 1, (q, cont, up g552))
(q, endStr, g552, 1, (q_end, endStr, down))
(q_end, m_a_552, root, 1, (q, m_a_553, up g553))
(q_end, m_b_552, root, 1, (q, m_b_553, up g553))
(q, m0, g553, p, (q, cont, up g553))
(q, m0, g553, 1 - p, (q_end, endStr, down))
(q_end, cont, g553, 1, (q_end, cont, down))
(q, cont, g553, 1, (q, cont, up g553))
(q, endStr, g553, 1, (q_end, endStr, down))
(q_end, m_a_553, root, 1, (q, m_a_554, up g554))
(q_end, m_b_553, root, 1, (q, m_b_554, up g554))
(q, m0, g554, p, (q, cont, up g554))
(q, m0, g554, 1 - p, (q_end, endStr, down))
(q_end, cont, g554, 1, (q_end, cont, down))
(q, cont, g554, 1, (q, cont, up g554))
(q, endStr, g554, 1, (q_end, endStr, down))
(q_end, m_a_554, root, 1, (q, m_a_555, up g555))
(q_end, m_b_554, root, 1, (q, m_b_555, up g555))
(q, m0, g555, p, (q, cont, up g555))
(q, m0, g555, 1 - p, (q_end, endStr, down))
(q_end, cont, g555, 1, (q_end, cont, down))
(q, cont, g555, 1, (q, cont, up g555))
(q, endStr, g555, 1, (q_end, endStr, down))
(q_end, m_a_555, root, 1, (q, m_a_556, up g556))
(q_end, m_b_555, root, 1, (q, m_b_556, up g556))
(q, m0, g556, p, (q, cont, up g556))
(q, m0, g556, 1 - p, (q_end, endStr, down))
(q_end, cont, g556, 1, (q_end, cont, down))
(q, cont, g556, 1, (q, cont, up g556))
(q, endStr, g556, 1, (q_end, endStr, down))
(q_end, m_a_556, root, 1, (q, m_a_557, up g557))
(q_end, m_b_556, root, 1, (q, m_b_557, up g557))
(q, m0, g557, p, (q, cont, up g557))
(q, m0, g557, 1 - p, (q_end, endStr, down))
(q_end, cont, g557, 1, (q_end, cont, down))
(q, cont, g557, 1, (q, cont, up g557))
(q, endStr, g557, 1, (q_end, endStr, down))
(q_end, m_a_557, root, 1, (q, m_a_558, up g558))
(q_end, m_b_557, root, 1, (q, m_b_558, up g558))
(q, m0, g558, p, (q, cont, up g558))
(q, m0, g558, 1 - p, (q_end, endStr, down))
(q_end, cont, g558, 1, (q_end, cont, down))
(q, cont, g558, 1, (q, cont, up g558))
(q, endStr, g558, 1, (q_end, endStr, down))
(q_end, m_a_558, root, 1, (q, m_a_559, up g559))
(q_end, m_b_558, root, 1, (q, m_b_559, up g559))
(q, m0, g559, p, (q, cont, up g559))
(q, m0, g559, 1 - p, (q_end, endStr, down))
(q_end, cont, g559, 1, (q_end, cont, down))
(q, cont, g559, 1, (q, cont, up g559))
(q, endStr, g559, 1, (q_end, endStr, down))
(q_end, m_a_559, root, 1, (q, m_a_560, up g560))
(q_end, m_b_559, root, 1, (q, m_b_560, up g560))
(q, m0, g560, p, (q, cont, up g560))
(q, m0, g560, 1 - p, (q_end, endStr, down))
(q_end, cont, g560, 1, (q_end, cont, down))
(q, cont, g560, 1, (q, cont, up g560))
(q, endStr, g560, 1, (q_end, endStr, down))
(q_end, m_a_560, root, 1, (q, m_a_561, up g561))
(q_end, m_b_560, root, 1, (q, m_b_561, up g561))
(q, m0, g561, p, (q, cont, up g561))
(q, m0, g561, 1 - p, (q_end, endStr, down))
(q_end, cont, g561, 1, (q_end, cont, down))
(q, cont, g561, 1, (q, cont, up g561))
(q, endStr, g561, 1, (q_end, endStr, down))
(q_end, m_a_561, root, 1, (q, m_a_562, up g562))
(q_end, m_b_561, root, 1, (q, m_b_562, up g562))
(q, m0, g562, p, (q, cont, up g562))
(q, m0, g562, 1 - p, (q_end, endStr, down))
(q_end, cont, g562, 1, (q_end, cont, down))
(q, cont, g562, 1, (q, cont, up g562))
(q, endStr, g562, 1, (q_end, endStr, down))
(q_end, m_a_562, root, 1, (q, m_a_563, up g563))
(q_end, m_b_562, root, 1, (q, m_b_563, up g563))
(q, m0, g563, p, (q, cont, up g563))
(q, m0, g563, 1 - p, (q_end, endStr, down))
(q_end, cont, g563, 1, (q_end, cont, down))
(q, cont, g563, 1, (q, cont, up g563))
(q, endStr, g563, 1, (q_end, endStr, down))
(q_end, m_a_563, root, 1, (q, m_a_564, up g564))
(q_end, m_b_563, root, 1, (q, m_b_564, up g564))
(q, m0, g564, p, (q, cont, up g564))
(q, m0, g564, 1 - p, (q_end, endStr, down))
(q_end, cont, g564, 1, (q_end, cont, down))
(q, cont, g564, 1, (q, cont, up g564))
(q, endStr, g564, 1, (q_end, endStr, down))
(q_end, m_a_564, root, 1, (q, m_a_565, up g565))
(q_end, m_b_564, root, 1, (q, m_b_565, up g565))
(q, m0, g565, p, (q, cont, up g565))
(q, m0, g565, 1 - p, (q_end, endStr, down))
(q_end, cont, g565, 1, (q_end, cont, down))
(q, cont, g565, 1, (q, cont, up g565))
(q, endStr, g565, 1, (q_end, endStr, down))
(q_end, m_a_565, root, 1, (q, m_a_566, up g566))
(q_end, m_b_565, root, 1, (q, m_b_566, up g566))
(q, m0, g566, p, (q, cont, up g566))
(q, m0, g566, 1 - p, (q_end, endStr, down))
(q_end, cont, g566, 1, (q_end, cont, down))
(q, cont, g566, 1, (q, cont, up g566))
(q, endStr, g566, 1, (q_end, endStr, down))
(q_end, m_a_566, root, 1, (q, m_a_567, up g567))
(q_end, m_b_566, root, 1, (q, m_b_567, up g567))
(q, m0, g567, p, (q, cont, up g567))
(q, m0, g567, 1 - p, (q_end, endStr, down))
(q_end, cont, g567, 1, (q_end, cont, down))
(q, cont, g567, 1, (q, cont, up g567))
(q, endStr, g567, 1, (q_end, endStr, down))
(q_end, m_a_567, root, 1, (q, m_a_568, up g568))
(q_end, m_b_567, root, 1, (q, m_b_568, up g568))
(q, m0, g568, p, (q, cont, up g568))
(q, m0, g568, 1 - p, (q_end, endStr, down))
(q_end, cont, g568, 1, (q_end, cont, down))
(q, cont, g568, 1, (q, cont, up g568))
(q, endStr, g568, 1, (q_end, endStr, down))
(q_end, m_a_568, root, 1, (q, m_a_569, up g569))
(q_end, m_b_568, root, 1, (q, m_b_569, up g569))
(q, m0, g569, p, (q, cont, up g569))
(q, m0, g569, 1 - p, (q_end, endStr, down))
(q_end, cont, g569, 1, (q_end, cont, down))
(q, cont, g569, 1, (q, cont, up g569))
(q, endStr, g569, 1, (q_end, endStr, down))
(q_end, m_a_569, root, 1, (q, m_a_570, up g570))
(q_end, m_b_569, root, 1, (q, m_b_570, up g570))
(q, m0, g570, p, (q, cont, up g570))
(q, m0, g570, 1 - p, (q_end, endStr, down))
(q_end, cont, g570, 1, (q_end, cont, down))
(q, cont, g570, 1, (q, cont, up g570))
(q, endStr, g570, 1, (q_end, endStr, down))
(q_end, m_a_570, root, 1, (q, m_a_571, up g571))
(q_end, m_b_570, root, 1, (q, m_b_571, up g571))
(q, m0, g571, p, (q, cont, up g571))
(q, m0, g571, 1 - p, (q_end, endStr, down))
(q_end, cont, g571, 1, (q_end, cont, down))
(q, cont, g571, 1, (q, cont, up g571))
(q, endStr, g571, 1, (q_end, endStr, down))
(q_end, m_a_571, root, 1, (q, m_a_572, up g572))
(q_end, m_b_571, root, 1, (q, m_b_572, up g572))
(q, m0, g572, p, (q, cont, up g572))
(q, m0, g572, 1 - p, (q_end, endStr, down))
(q_end, cont, g572, 1, (q_end, cont, down))
(q, cont, g572, 1, (q, cont, up g572))
(q, endStr, g572, 1, (q_end, endStr, down))
(q_end, m_a_572, root, 1, (q, m_a_573, up g573))
(q_end, m_b_572, root, 1, (q, m_b_573, up g573))
(q, m0, g573, p, (q, cont, up g573))
(q, m0, g573, 1 - p, (q_end, endStr, down))
(q_end, cont, g573, 1, (q_end, cont, down))
(q, cont, g573, 1, (q, cont, up g573))
